Allowed Value to Be Mapped,Allowed Value as Sent to Channel
Busbar shield,26042
Horizontal busbar,31581
Horizontal busbar shield,31583
Vertical busbar,31582
Vertical busbar shield,31584
Bell transformer,26020
Switch disconnector,25305
Switch disconnector incomer,29992
A-lock push button switch with key reset,29991
Push button isolator,25304
Integral meter kit,25258
Enclosure,25303
Distribution board without incomer,25302
Distribution board,30614
Distribution board with incomer,25301
3-phase thermal overload relay,25300
Thermal overload relay,29990
3-phase motor starter,25257
Motor starter,29989
3-phase incomer,25299
3-phase DIN rail,25297
DIN rail,29988
3-phase contactor unit,25295
Isolator switch,25296
RCBO protected outdoor socket,35491
Plug & socket,36392
Socket,12635
Weatherproof switch cover,35926
Smart weatherproof switched socket,34929
Socket & plug cover,34349
Weatherproof schuko socket,34449
Weatherproof socket,30529
Weatherproof power controller,25458
Box kit,33794
Protective box,29987
Weatherproof unswitched RCD socket,25451
Weatherproof switched RCD socket,25450
Weatherproof timer socket,25449
Multimeter & Socket Tester Kits,35956
Multi-tester,32622
Fuse tester,32841
Test lead clip,32843
Test lead crocodile clip,33980
Test lead probe,32842
Test software,28904
Test report label,8318
Test report pad,28903
Test meter case,25597
Multimeter test lead,33981
Test lead,28902
Solar power meter,28901
Socket tester,28900
Proving unit,28899
Portable appliance tester,28897
Portable appliance tester adaptor,28898
Phase sequence indicator,28896
Multimeter,28895
Multifunctional tester,28894
Lighting circuit test adaptor,8316
Lighting circuit test adaptor set,8315
Light bulb tester,8314
Insulation & continuity tester,8313
Circuit breaker finder,34547
Fuse finder,8312
Electrical tester kit,8311
Clamp meter,8317
Control switch & socket,35957
Foot control switch,35917
Surge protection socket adaptor,35914
Temperature controlled socket adaptor,35913
Voltage adaptor,35912
Non-standard connector,35759
Cooker switch & socket,30056
Cooker switch & socket with neon,30130
Foot dimmer switch,34909
Decorative fascia,34580
Socket with cover,34581
Switches & sockets wall seal,35192
Socket safety cover,32592
Time-delay switch,31587
Plug-in switch,30284
Floor socket,27473
Cartridge fuses,27472
Fuse,33812
Socket indicator,26124
Switch & socket indicator,26130
Switch indicator,26123
Double switched socket,30086
Plug socket,30119
Rapid fix socket,34524
Remote controlled socket,30124
Round pin plug socket,30128
Schuko socket,34231
Single switched socket,30033
Socket & 2 way single switch,30132
Socket with neon,30098
Switched socket,21831
Switched socket flatplate,30136
Unswitched floor socket,29985
Unswitched socket,26146
Socket with USB,12636
Shaver socket,12528
Power activation card switch,26114
Cable light set,30032
Light pendant set,29981
Pendant set,12781
Cable outlet,30031
Coaxial outlet,30055
Cooker outlet,32820
F connector outlet plate,34489
Faceplate,32819
Flex Outlet,12262
Outlet plate,26097
Retractive switch,13021
Light bulb cap converter,26092
Batten lampholder,30030
Lampholder,26091
Lampholder reducer,30885
Lampholder skirt,30892
Loop-in batten lampholder,30097
Pendant lampholder,29980
Inset desktop USB socket,26090
Connection switch,30054
Connection unit,29979
Cooker connection unit,30029
Fused connection unit,12291
Downlight surround,29978
Frame surround,12290
Frame surround shelf,30053
Grid frame,32824
Surround,13328
Control switch,26085
Combination plate,26084
Ceiling switch,26083
Blank insert,33725
Blanking plate,11958
Decorative plate,34450
Site switched socket,26054
Site surface socket,26053
Site panel socket,26050
Site extension lead,26049
Plug connector,26026
Site connector,26024
Modular socket,31589
Modular USB socket,26129
Modular intermediate switch,26109
Modular retractive switch,26108
Modular key switch,26105
Modular outlet plate,26099
Metal-clad switch,26004
Metal-clad key switches,26002
Metal-clad RCD socket,25993
Metal-clad switched USB socket,25992
Child safety locks,34258
Child safety protector,34297
Child safety stair riser bar,35125
Neck gaiter,28396
Flood prevention kit,36614
Flood panel,28973
Flood bag,28971
Flood & water alarm,34056
Flood alarm,31797
Alarm remote,26153
Alarm pack,26152
Alarm base,33563
Alarm mount,34309
Non-powered alarm base,26151
Watch,36225
Non safety hat,25096
Base layer top,21743
Work watch,25101
Trouser braces,25100
Shoe laces,25099
Boot remover,28411
Insoles,21180
Shoe care,25098
Shoe horn,28410
Overshoes,25097
Sports cap,34622
Winter beanie,34623
Microfibre gloves,30535
Microfibre mitt,30536
Non safety gloves,25095
Work socks,36420
Anti-odour insole,34512
Over trousers,36419
Chest wader,25038
Action trouser,30282
Holster pocket trousers,31340
Joggers,29285
Multi-pocket trousers,31341
Painters trousers,31342
Service trousers,30884
Work trousers,33526
Jeans,8682
Traffic mirror,24937
Speed bump,24936
Parking barrier,24934
Water activated door seal,24897
Spillage kit,24895
Spill platform,24894
Spill filter liner,24893
Spill cabinet,24890
Spill berm,24889
Spill base unit,24888
Drum storage,24887
Drum ramp,24886
Drum bund,24884
Tank bund,24885
Absorbent granules,24882
Absorbent powder,24881
Absorbent pads,24879
Absorbent rolls,24880
Water activated weight,24878
Traffic management sign,24876
Traffic sign,24877
Self-adhesive labels,24875
Ladder tag kit,24874
Scafftag,24873
Advisory poster,28409
Advisory sign,28408
Advisory sticker,36559
Floor sticker,33224
No admittance sign,28407
No smoking sign,28406
Safety poster,24871
Safety sign,24872
Photoluminescent exit sign,24870
Photoluminescent sign,24869
Asset tags,24861
Disposable face mask,34723
Respiratory filter retainers,31824
Air unit breathing tubes,25002
Filter test kit,25000
Disposable dust mask,24999
Flat mask,29292
Half mask,29289
Medical mask,33085
Moulded mask,35647
Shaped mask,29294
Respirator,29288
Reusable respiratory mask,25008
Reusable full face mask,25007
Reusable eye & respiratory combi kit,28394
Reusable eye combi kit,25006
Face mask,33221
Half respiratory mask,32828
Respiratory mask carry case,25005
Powered air units,25003
Head top,25001
Respiratory filter,25004
Shirt,24799
PPE safety kit,24985
PPE bag,24983
PPE storage box,24984
Knee pad inserts,33359
Knee pads,24988
Knee pad insert,21688
Back rest,35119
Lumbar cushion,35117
Hi-Vis strap & attachment,35186
Hi-vis t-shirt,24797
Bomber jacket,28399
Hi-vis jacket,24782
Lightweight hi-vis jacket,28398
Motorway jacket,28403
Pilot jacket,28401
Rail jacket,28400
Traffic jacket,28402
Hi-vis harness,25056
Face shield & ear defender,24316
Helmet visor,25032
Helmet lanyard,25030
Helmet emergency tags,25029
Helmet tags,25028
Chin strap,25024
Chin strap hard hat,25019
Hard hat,25023
Vented safety helmet,28397
Baseball bump cap,29823
Thermal protection gloves,24950
Welders' gauntlets,30534
Safety gloves,28393
Secure handling gloves,24948
Gloves,28070
Mechanical hazard gloves,24945
Gardening gloves,24943
Landscaping gloves,24944
Thermal gardening gloves,30533
Builders' gloves,30532
General handling gloves,24942
Disposable gloves,24941
Cut resistant gloves,24940
Chemical hazard gloves,28421
Gauntlets,28392
Hiker boots,34406
Safety trainer boots,28391
Trainer boots,24857
Safety wellington boots,28390
Safety wellingtons,24855
Safety trainers,24854
Safety sandals,33321
Safety shoes,24853
Chukka boot,21898
Ladies safety boots,30498
Safety boots,24852
Rigger boots,24851
Safety rigger boots,36421
Non-safety wellingtons,24849
Wellington boots,12935
Dealer boots,24844
Lotion,24920
Sports first aid bag,33045
Sports first aid kit,13499
Sports first aid kit refill,28389
First aid box,33594
First aid cabinet,8705
Eye wash station,8704
Eyewash kit,28375
Eyewash saline pods,28376
Break glass spares,28370
"Smoke detector, carbon monoxide detector & fire extinguisher set",34918
Evacuation chair,34586
Alarm module,33912
Fire detector,28969
Gas detector,28970
Double fire extinguisher stand,28374
Single fire extinguisher stand,28373
Stand,24911
Megaphone,24906
Fire safety kit,24909
Air horn,24896
Fire horn,24898
Scaffold netting,35766
Fall arrester,25063
Fall arrest lanyard,25058
Semi rigid spectacle case,31820
Spec case,24998
Lens cleaning dispenser,24993
Lens cleaning station,24994
Welding helmet,24992
Goggles,24990
Safety goggles,24318
Eye protection accessories,24989
Banded ear plugs,24961
Corded ear plugs,24960
Uncorded ear plugs,24959
Ear plug dispenser,24958
Ear defender,24957
Waterproof coverall,24842
Lab coat,36722
Warehouse coat,24785
Disposable coverall,24839
Bib,24808
Bib & brace,21759
Brace,24810
Apron,24816
Cooking apron,34960
Gardening apron,34963
Grill apron,32037
Painters apron,34967
Welding apron,35241
Chemical resistant trousers,24806
Creocote wood treatment,13183
Knotting solution,32414
Preserver,33871
Reviver,33872
Ring remover,13296
Saturator,34653
Treatment,33869
Woodworm killer,13371
Lacquer,32408
Liquid scratch cover,13259
Varnish,25594
Wood dye,13359
Wood varnish,32403
Decking oil,36694
Finishing oil,13221
Furniture oil,36695
Knotting oil,33874
Wood gel,32671
Wood oil,25595
Worktop oil,32088
Decking stripper,25512
Furniture stripper,25513
Paint stripper,25515
Varnish stripper,25516
Decorative upholstered wall panel,34683
Window film,28893
Bunting,25696
Pre-pasted wallpaper,35906
Wallpaper,25691
Roller sleeve,23628
Pad set,32674
Paint & stain pad set,32675
Paint pad set,25141
Handpump sprayer,12361
Pump sprayer,25139
Carpet protection film,35291
Glass protection film,35526
Hard surface protection film,35525
Veneer sheet,34987
Surface cover & masking tape set,34715
Screed aeration roller,34375
Brush tub,11981
Paint brush clean & store pod,34036
Dust containment room kit,33057
Cleaning tray,33060
Decorating shield,36733
Paint guard,32583
Intensive wood cleaner,32401
Glitter,31395
Dust barrier kit,31347
Room segregation kit,33986
Paint kettle liner,31356
Paint scuttle liner,31355
Paint scuttle,29708
Doorway dust guard,33985
Double doorway dust guard,33987
Dust barrier,31348
Wood filler,30519
Activator solution,35250
Glow in the dark paint,13008
Neon paint,13273
Paint glitter,25487
Special effect paint,13319
Appliance paint,32416
Brick & tile paint,13166
Cabinet & wardrobe paint,32411
Cabinet paint,29802
Colour tester,29803
Cupboard & cabinet paint,32672
Cupboard paint,13003
Doorstep paint,28891
Floor & stair paint,29804
Floor & tile paint,25483
Floor paint,28065
Furniture paint,28892
Garage door paint,13235
Garage floor paint,25259
Kitchen cupboard & cabinet paint,13004
"Metal, UPVC & wood paint",36696
Multi-surface paint,29805
Radiator & appliance paint,29806
Radiator paint,13072
Sanitaryware paint,29807
Wall tile & panelling paint,29808
Waterproof paint,29810
Worktop paint,29809
Metal spray paint,13268
Anti-climb paint,25700
Drainpipe & gutter paint,13201
Oil fitting valve,35176
Oil filter,33271
Immersion heater plug,26869
Immersion heater washer,26870
Cylinder flange,33584
Immersion heater flange,26868
Expansion vessel fixing kit,26865
Expansion vessel bracket,26833
Dual safety thermostat,26832
Towel warmer bar,35697
Radiator installation kit,35721
Radiator access kit,32593
Multi-column brackets,33368
Radiator bracket,11682
Towel radiator bracket,26694
Radiator rotating conversion kit,26693
Heater feet,33525
Radiator feet,26692
Radiator floor support,33558
Radiator support,31517
Radiator wall stay,26687
Radiator end panel,26684
Radiator top grill,26685
Expansion vessels kit,35645
Expansion vessel control kit,33592
Indirect cylinder,22354
Direct cylinder,22365
Immersion heater element,22376
Water heating element,35623
Expansion vessel valve,26866
Condensate regulator,33211
Smart central heating control pack,27058
Thermostat control kit,33362
Wiring centre,12966
Timeswitch,26723
Thermostat frame,33205
Thermostat stand,30027
Thermostat backplate charger,26721
Synchronous motor,26720
Reset unit,26719
Programmer & room thermostat,33200
Programmable room receiver,26716
Programmable room thermostat & receiver,31520
Motorised valve,12619
Room thermostat & receiver,31519
Frost thermostat,26710
Cylinder reciever,27064
Cylinder thermostat,27057
Cylinder thermostats,27056
Pipe thermostats,27063
Central heating control pack,26709
Temperature sensor,33843
Actuator,26708
Boiler impurity filter,35640
Weather compensator,26815
Thermocouple,26814
Soakaway,26810
Pre-piping stand off kit,26809
Spacing frame,26811
Stand off bracket,33170
Stand off frame,26812
Stand off kit,26813
Pre-piping kit,26808
Stand off plate,26807
Plume displacement kit,33169
Plume management kit,26805
Plume deflector,33168
Plume diverter,26804
LPG conversion kit,33167
LPG kit,26803
Flue,26802
Flue pipe,33678
Stove pipe,33166
Flue & terminal,33165
Flue terminal,26800
Flue support,26799
Flue support bracket,33199
Flue support clip,33164
Flue kit,26798
Flue terminal deflector kit,33198
Flue termination kit,33163
Flue guard,26797
Flue extension,26796
Flue sliding sleeve,33210
Flue bend,26795
Flue elbow,26794
Flue adaptor,26792
Flue connector,26793
Filling loop,26791
Filling link,26790
Pressure gauge,33181
